common_name,latin_name,plant_part,constituent,class,subclass,importance,status,notes
Agrimony,Agrimonia eupatoria,Aerial parts,Caffeic acid,Polyphenol,Hydroxycinnamic acid,Low–Moderate,Reported,Contributes antioxidant and anti-inflammatory phenolic activity.
Agrimony,Agrimonia eupatoria,Aerial parts,Chlorogenic acid,Polyphenol,Hydroxycinnamic acid,Low–Moderate,Reported,"Contributes antioxidant, hepatoprotective, and bitter digestive-support activity."
Agrimony,Agrimonia eupatoria,Aerial parts,Limonene,Terpenoid,Monoterpenoid,Low,Reported,"Contributes carminative, aromatic digestive, and mild antimicrobial activity."
Agrimony,Agrimonia eupatoria,Aerial parts,α-Pinene,Terpenoid,Monoterpenoid,Low,Reported,"Contributes aromatic antimicrobial, bronchodilating, and anti-inflammatory activity."
Agrimony,Agrimonia eupatoria,Aerial parts,β-Pinene,Terpenoid,Monoterpenoid,Low,Reported,Contributes aromatic antimicrobial and anti-inflammatory activity.
Agrimony,Agrimonia eupatoria,Aerial parts,Gallic acid,Polyphenol,Phenolic acid,Moderate,Present,"Supports astringent, antioxidant, and antimicrobial phenolic activity."
Agrimony,Agrimonia eupatoria,Aerial parts,Quercetin,Flavonoid,Flavonol,Moderate,Present,"Contributes antioxidant, anti-inflammatory, and mast-cell-modulating activity."
Agrimony,Agrimonia eupatoria,Aerial parts,Ursolic acid,Terpenoid,Pentacyclic triterpenoid,Moderate,Present,"Contributes anti-inflammatory, antimicrobial, and tissue-repair activity."
Agrimony,Agrimonia eupatoria,Aerial parts,Apigenin,Flavonoid,Flavone,Low–Moderate,Present,"Contributes anti-inflammatory, antispasmodic, and mild calming activity."
Agrimony,Agrimonia eupatoria,Aerial parts,Kaempferol,Flavonoid,Flavonol,Low–Moderate,Present,Contributes antioxidant and anti-inflammatory flavonol activity.
Agrimony,Agrimonia eupatoria,Aerial parts,Luteolin,Flavonoid,Flavone,Low–Moderate,Present,"Contributes anti-inflammatory, antioxidant, and antispasmodic activity."
Agrimony,Agrimonia eupatoria,Aerial parts,Oleanolic acid,Terpenoid,Pentacyclic triterpenoid,Low–Moderate,Present,Contributes anti-inflammatory and tissue-repair activity.
Agrimony,Agrimonia eupatoria,Aerial parts,Agrimoniin,Tannin,Ellagitannin,High,Marker,"Supports astringent, anti-inflammatory, and tissue-toning actions."
Agrimony,Agrimonia eupatoria,Aerial parts,Ellagic acid,Polyphenol,Phenolic acid,Moderate,Major,Contributes antioxidant and anti-inflammatory phenolic activity.
Agrimony,Agrimonia eupatoria,Aerial parts,Hyperoside,Flavonoid,Flavonol glycoside,Moderate,Major,"Contributes antioxidant, anti-inflammatory, and capillary-supportive activity."
Agrimony,Agrimonia eupatoria,Aerial parts,Pedunculagin,Tannin,Ellagitannin,Moderate,Major,Contributes astringent and anti-inflammatory tannin activity.
Agrimony,Agrimonia eupatoria,Aerial parts,Proanthocyanidins,Tannin,Condensed tannin,Moderate,Major,"Contribute astringent, antioxidant, and capillary-supportive activity."
Agrimony,Agrimonia eupatoria,Aerial parts,Quercitrin,Flavonoid,Flavonol glycoside,Moderate,Major,Contributes antioxidant and anti-inflammatory flavonol activity.
Aloe,Aloe vera,Inner gel,Campesterol,Sterol,Phytosterol,Low,Reported,Contributes phytosterol-related anti-inflammatory and lipid-support activity.
Aloe,Aloe vera,Inner gel,Salicylic acid,Polyphenol,Phenolic acid,Low,Reported,"Contributes analgesic, anti-inflammatory, and keratolytic activity."
Aloe,Aloe vera,Latex,Aloinosides,Anthraquinone,Anthraquinone glycoside,Moderate,Present,Contribute stimulant laxative activity of aloe latex.
Aloe,Aloe vera,Inner gel,Arabinogalactans,Polysaccharide,Arabinogalactan,Moderate,Present,Support demulcent and immune-modulating polysaccharide activity.
Aloe,Aloe vera,Latex,Chrysophanol,Anthraquinone,Anthraquinone,Moderate,Present,Contributes stimulant laxative and antimicrobial anthraquinone activity.
Aloe,Aloe vera,Latex,Emodin,Anthraquinone,Anthraquinone,Moderate,Present,Contributes stimulant laxative and antimicrobial anthraquinone activity.
Aloe,Aloe vera,Inner gel,Lupeol,Terpenoid,Pentacyclic triterpenoid,Moderate,Present,Contributes anti-inflammatory and tissue-repair activity.
Aloe,Aloe vera,Inner gel,Pectins,Polysaccharide,Pectin,Moderate,Present,"Contribute demulcent, bulk-forming, and bowel-regulating activity."
Aloe,Aloe vera,Inner gel,β-Sitosterol,Sterol,Phytosterol,Moderate,Present,"Contributes anti-inflammatory, membrane-stabilizing, and endocrine-modulating activity."
Aloe,Aloe vera,Inner gel,Aloinoside,Polyphenol,Chromone,Low,Present,Contributes stimulant laxative activity of aloe latex.
Aloe,Aloe vera,Inner gel,Acemannan,Polysaccharide,Acetylated glucomannan,High,Marker,"Supports demulcent, wound-healing, and immune-modulating actions of aloe gel."
Aloe,Aloe vera,Latex,Aloin A (Barbaloin),Anthraquinone,Anthraquinone glycoside,High,Marker,Contributes stimulant laxative activity of aloe latex.
Aloe,Aloe vera,Inner gel,Aloenin,Polyphenol,Chromone,Moderate,Major,Contributes bitter digestive and characteristic aloe phenolic activity.
Aloe,Aloe vera,Inner gel,Aloesin,Polyphenol,Chromone,Moderate,Major,Contributes antioxidant and skin-supportive phenolic activity.
Aloe,Aloe vera,Latex,Aloe-emodin,Anthraquinone,Anthraquinone,High,Major,Contributes stimulant laxative anthraquinone activity.
Aloe,Aloe vera,Latex,Aloin B (Isobarbaloin),Anthraquinone,Anthraquinone glycoside,High,Major,Contributes stimulant laxative activity of aloe latex.
Aloe,Aloe vera,Inner gel,Glucomannan,Polysaccharide,Glucomannan,High,Major,"Supports demulcent, bulk-forming, and gut-soothing activity."
Aloe,Aloe vera,Inner gel,Mannans,Polysaccharide,Mannan,High,Major,"Contribute demulcent, gut-soothing, and immune-modulating activity."
Angelica,Angelica archangelica,Root,Osthole,Coumarin,Simple coumarin,Low,Reported,Contributes antispasmodic and warming aromatic coumarin activity.
Angelica,Angelica archangelica,Root,Isoimperatorin,Coumarin,Furanocoumarin,Moderate,Present,Contributes antispasmodic activity and furanocoumarin-related safety considerations.
Angelica,Angelica archangelica,Root,Sabinene,Terpenoid,Monoterpenoid,Moderate,Present,Contributes warming aromatic and carminative activity.
Angelica,Angelica archangelica,Root,Umbelliferone,Coumarin,Simple coumarin,Moderate,Present,Contributes mild anti-inflammatory and aromatic coumarin activity.
Angelica,Angelica archangelica,Root,β-Sitosterol,Sterol,Phytosterol,Low,Present,"Contributes anti-inflammatory, membrane-stabilizing, and endocrine-modulating activity."
Angelica,Angelica archangelica,Root,Angelicin,Coumarin,Furanocoumarin,High,Marker,Photoreactive furanocoumarin; contributes photosensitizing safety profile.
Angelica,Angelica archangelica,Root,β-Phellandrene,Terpenoid,Monoterpenoid,High,Marker,Contributes aromatic carminative and antimicrobial activity.
Angelica,Angelica archangelica,Root,Bergapten,Coumarin,Furanocoumarin,Moderate,Major,Photoreactive furanocoumarin; contributes photosensitizing safety profile.
Angelica,Angelica archangelica,Root,Limonene,Terpenoid,Monoterpenoid,Moderate,Major,"Contributes carminative, aromatic digestive, and mild antimicrobial activity."
Angelica,Angelica archangelica,Root,Xanthotoxin,Coumarin,Furanocoumarin,Moderate,Major,Photoreactive furanocoumarin; contributes photosensitizing safety profile.
Angelica,Angelica archangelica,Root,α-Phellandrene,Terpenoid,Monoterpenoid,Moderate,Major,Contributes aromatic carminative and antimicrobial activity.
Angelica,Angelica archangelica,Root,Imperatorin,Coumarin,Furanocoumarin,High,Major,Contributes antispasmodic activity and furanocoumarin-related safety considerations.
Angelica,Angelica archangelica,Root,α-Pinene,Terpenoid,Monoterpenoid,High,Major,"Contributes aromatic antimicrobial, bronchodilating, and anti-inflammatory activity."
Aniseed,Pimpinella anisum,Seed,α-Pinene,Terpenoid,Monoterpenoid,Low,Reported,"Contributes aromatic antimicrobial, bronchodilating, and anti-inflammatory activity."
Aniseed,Pimpinella anisum,Seed,γ-Himachalene,Terpenoid,Sesquiterpenoid,Low,Reported,Contributes aromatic sesquiterpene activity in the volatile fraction.
Aniseed,Pimpinella anisum,Seed,Anisaldehyde,Phenylpropanoid,Aromatic aldehyde,Moderate,Present,Contributes aromatic carminative and mild antimicrobial activity.
Aniseed,Pimpinella anisum,Seed,Limonene,Terpenoid,Monoterpenoid,Low–Moderate,Present,"Contributes carminative, aromatic digestive, and mild antimicrobial activity."
Aniseed,Pimpinella anisum,Seed,Anisic acid,Phenylpropanoid,Aromatic acid,Low,Present,Contributes mild antimicrobial and aromatic digestive activity.
Aniseed,Pimpinella anisum,Seed,trans-Anethole,Phenylpropanoid,Phenylpropene,High,Marker,Primary aromatic digestive carminative and antispasmodic constituent.
Aniseed,Pimpinella anisum,Seed,Estragole (Methyl chavicol),Phenylpropanoid,Phenylpropene,Moderate,Major,Contributes aromatic carminative activity and safety considerations at high exposure.
Arnica,Arnica montana,Flower,Caffeic acid,Polyphenol,Hydroxycinnamic acid,Low,Reported,Contributes antioxidant and anti-inflammatory phenolic activity.
Arnica,Arnica montana,Flower,Astragalin,Flavonoid,Flavonol glycoside,Moderate,Present,Contributes antioxidant and anti-inflammatory flavonol glycoside activity.
